superkingdom	kingdom	phylum	class	order	genus	species
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Rhodoluna	Rhodoluna_lacicola
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium	Salinibacterium_amurskyense
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_alpinus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_saudimassiliensis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_sp_FB24
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_sp_PAMC_25486
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_sp_Rue61a
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter_arilaitensis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria_rhizophila
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria_varians
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus_luteus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter_chlorophenolicus
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter_phenanthrenivorans
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Psychromicrobium	Psychromicrobium_lacuslunae
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium_salmoninarum
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_dentocariosa
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_nasimurium
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola_variabilis
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas_cellulosilytica
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Sanguibacteraceae	Sanguibacter	Sanguibacter_keddieii
Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Tropherymataceae	Tropheryma	Tropheryma_whipplei
Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes_friuliensis
